# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
7.102820118691926154e+01,-4.072350827968710951e-01,8.449710144927536248e+02,5.000000000000000000e+00,7.352941176470588758e+00,3.433635528295988593e+01,2.345268767646443564e+01,2.827784557743318317e+01,3.467922074688541301e+01,8.154117932414284287e-01,6.833333332999999676e+00
7.587294714563088860e+01,1.305327341059924873e+00,7.937837837837837469e+02,3.200000000000000000e+01,4.383561643835616195e+01,5.821547127603117389e+01,5.839644159506902810e+01,5.501180858726293081e+02,1.081905131880208955e+03,5.084716484490616750e-01,1.800000000000000000e+01
6.277759040864169293e+01,-7.614681442762278873e-01,9.722666666666666515e+02,4.900000000000000000e+01,8.305084745762711407e+01,1.364677276060757833e+02,1.037787520571098128e+02,1.769957651295716005e+03,5.022660668969276230e+03,3.523944315471618793e-01,4.833333332999999676e+00
1.035298394380731537e+02,1.102733072360009059e+00,5.902699999999999818e+02,5.000000000000000000e+00,5.050505050505050164e+00,1.095280509248381549e+02,7.759137396084254590e+01,1.617806739240505749e+03,4.070478235919298641e+03,3.974488120251873924e-01,6.500000000000000000e+00
7.385518226072524328e+01,-3.359963393159020040e-01,8.132361111111110858e+02,5.000000000000000000e+00,7.042253521126760951e+00,3.086545085266094191e+01,2.803292483499325982e+01,6.512302789532159863e+01,4.085104059536498085e+02,1.594158360379944739e-01,5.333333332999999676e+00
1.008171660460197643e+02,3.532008131775949966e+00,5.952727272727272521e+02,1.500000000000000000e+01,1.530612244897959151e+01,7.072979627874417474e+01,6.337011756047910183e+01,8.720987862818595886e+02,1.798313716952552852e+02,4.849536418816457584e+00,4.444444444400000194e+00
7.032219497664320329e+01,-7.137509364333489703e-01,8.301408450704225288e+02,1.500000000000000000e+01,2.142857142857142705e+01,2.557509949708337444e+02,2.084877040413139184e+02,6.832782145286751984e+03,1.517352911450504871e+04,4.503093574160669799e-01,1.533333333300000101e+00
8.139136287583883700e+01,-5.083370681275201086e-01,7.291499999999999773e+02,5.000000000000000000e+00,6.329113924050632889e+00,7.721734900488213782e+01,6.735981223101403259e+01,1.084477491033868773e+03,1.276572447360955721e+03,8.495228714013037807e-01,6.833333332999999676e+00
5.905876142692486042e+01,-8.486547349601700208e-02,1.020035087719298190e+03,2.100000000000000000e+01,3.750000000000000000e+01,5.120895568996835578e+01,7.389905395496343488e+01,3.842512814805631933e+02,4.130253785055509752e+02,9.303333438514092002e-01,4.071428571400000251e+00
9.022852055469714116e+01,-6.915158763030962996e-01,6.110421052631578505e+02,3.800000000000000000e+01,4.042553191489361097e+01,1.939519572010750892e+02,1.570283153616186098e+02,3.586790312875264135e+03,4.496958043403147713e+03,7.976036863712655522e-01,5.833333332999999676e+00
7.568142430287511502e+01,-7.281591329172760751e-01,7.933561643835616906e+02,1.000000000000000000e+00,1.388888888888888840e+00,2.280381303398378989e+01,2.739848427631115158e+01,3.688293305081576250e+02,1.294975495337244524e+02,2.848156832590141629e+00,5.299999999999999822e+00
