# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
6.815084865894809241e+01,-3.955118461328895330e-01,8.812121212121212466e+02,1.500000000000000000e+01,2.307692307692307665e+01,3.979756467230317440e+01,2.647292675198287881e+01,9.243676983362465194e+01,1.195481834084631885e+02,7.732176867781728191e-01,7.166666666700000299e+00
7.731813198247132846e+01,6.077972907582527284e-01,7.785526315789473983e+02,2.800000000000000000e+01,3.733333333333333570e+01,5.364078050637717610e+01,4.273028426049206985e+01,8.303022482521154188e+02,5.664190510232658653e+02,1.465879805335167818e+00,7.500000000000000000e+00
6.326273417280212641e+01,-6.841007550363084055e-01,9.529677419354839003e+02,4.700000000000000000e+01,7.704918032786885362e+01,1.487381900532874965e+02,1.140237202446232914e+02,1.649457511341824556e+03,7.212733379581644840e+03,2.286868825639991887e-01,3.500000000000000000e+00
1.076878285457851518e+02,9.025826945311479221e-01,5.583773584905660528e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.242769564511534952e+01,2.451877913149086652e+01,5.085873311694655996e+01,9.023553352126306493e+01,5.636220137709080369e-01,7.000000000000000000e+00
7.372719512769538142e+01,1.722652615372795293e-01,7.966216216216216708e+02,1.900000000000000000e+01,2.602739726027397182e+01,1.042188161698050379e+02,1.138856314920719797e+02,2.304216017965005676e+02,1.007599571997136991e+03,2.286837035269753959e-01,6.833333332999999676e+00
8.787751365725763719e+01,2.096338563532921473e+00,7.029036144578312815e+02,2.200000000000000000e+01,2.682926829268292934e+01,1.645712092889557141e+02,1.414974458493803411e+02,2.896399330550211380e+04,1.664647836659359746e+04,1.739947192892611350e+00,3.944444444400000194e+00
6.827904737694602488e+01,-6.814189950119240446e-01,8.753731343283582191e+02,2.200000000000000000e+01,3.333333333333332860e+01,2.863934568407807433e+02,2.323159314265222406e+02,1.519113103687465446e+04,2.503316423793560898e+04,6.068402257295864022e-01,5.799999999999999822e+00
8.246155274602143948e+01,-5.033918610990963938e-01,7.283580246913579685e+02,1.000000000000000000e+00,1.250000000000000000e+00,1.746532278545117478e+01,2.577756225963546299e+01,2.531400750123123942e+02,7.092836503418799055e+01,3.568954041028536750e+00,6.833333332999999676e+00
5.306346689457337362e+01,-4.302675900126801123e-01,1.135411764705882433e+03,1.200000000000000000e+01,2.400000000000000000e+01,4.552164320408479625e+01,4.671367100564383890e+01,1.243484359568749795e+02,4.319616386688847456e+02,2.878691643546450463e-01,4.071428571400000251e+00
8.475597751518326106e+01,-6.287814647004641433e-01,7.014880952380951840e+02,6.000000000000000000e+00,7.228915662650601703e+00,5.443698689465347940e+01,6.585498746975375184e+01,1.515387563314074839e+02,6.079747275195517204e+02,2.492517360872276988e-01,6.333333332999999676e+00
7.651500956675930354e+01,-6.858003506099693558e-01,7.737200000000000273e+02,6.000000000000000000e+00,8.108108108108108780e+00,8.815971378773376443e+01,7.305432262401762955e+01,2.340384052300016720e+02,5.562147303385926307e+02,4.207698798043915112e-01,5.900000000000000355e+00
7.404714748272641600e+01,-2.241130281187113660e-01,8.006756756756756204e+02,1.500000000000000000e+01,2.054794520547945069e+01,1.071677727063939471e+02,1.098234084521954657e+02,8.214843322965612060e+02,1.024182737069437508e+03,8.020876573717002911e-01,6.333333332999999676e+00
7.155947651488541794e+01,-3.222791350153795809e-01,8.295211267605633338e+02,3.100000000000000000e+01,4.428571428571428470e+01,1.165369959651072662e+02,9.750192073638191914e+01,4.925112270886660326e+02,8.127131697343941141e+02,6.060086700079260202e-01,5.299999999999999822e+00
6.974193819911474179e+01,-4.863412796669404625e-01,8.630882352941176805e+02,4.100000000000000000e+01,6.119402985074626855e+01,7.065788925118577879e+01,5.464286636515810613e+01,1.658559995346834057e+02,2.032233934901042403e+03,8.161265132242739861e-02,5.500000000000000000e+00
