# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
6.793654311921639533e+01,-3.768354514173818393e-01,8.833333333333333712e+02,1.200000000000000000e+01,1.846153846153846345e+01,3.754771323570543728e+01,2.328111372787514455e+01,3.575629074400888641e+01,3.747706102113214399e+01,9.540847059444450551e-01,6.333333332999999676e+00
7.165570127075227447e+01,6.059540552947891845e-01,8.449275362318840052e+02,3.200000000000000000e+01,4.705882352941176094e+01,6.668627162714535928e+01,7.655492431246756269e+01,1.115749173173658619e+03,1.793658441499210994e+03,6.220521964265789405e-01,7.000000000000000000e+00
6.040102407403355045e+01,-7.525669611443408513e-01,1.002965517241379303e+03,4.300000000000000000e+01,7.543859649122806843e+01,1.663215549744614634e+02,1.257016748925025240e+02,6.607954394787824640e+03,6.360903811823677643e+03,1.038838911933384068e+00,6.000000000000000000e+00
1.053383058134049008e+02,1.362393598712771103e+00,5.863700000000000045e+02,6.000000000000000000e+00,6.060606060606060552e+00,1.333206054531100619e+02,9.514801388076656963e+01,2.353358458017792145e+03,9.917946782971166613e+03,2.372828277379388506e-01,7.500000000000000000e+00
7.427015649330290614e+01,-1.134621671396196935e-01,8.084657534246575779e+02,4.000000000000000000e+00,5.555555555555555358e+00,2.933593738441337351e+01,2.746264239925698192e+01,8.888041589151077915e+01,5.193133499079798412e+02,1.711498768657882807e-01,7.833333332999999676e+00
8.799531770253513230e+01,2.071768796026959958e+00,6.847558139534884276e+02,5.000000000000000000e+00,5.882352941176470118e+00,2.905977612156181422e+01,4.774932978809272299e+01,6.574027921011706894e+02,1.670637930440446439e+02,3.935040502329868684e+00,3.444444444400000194e+00
8.784921381509170146e+01,-6.503121671528486747e-01,7.322500000000000000e+02,3.800000000000000000e+01,4.810126582278481067e+01,2.758232785909453355e+02,2.708260920810599259e+02,3.992870047149281163e+04,2.419131552927308439e+04,1.650538616768338018e+00,2.799999999999999822e+00
8.067729096422836221e+01,-4.762158751820427804e-01,7.445949367088608142e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000737043678833160e+01,3.022798795959939966e+01,5.009836046433191541e+02,7.361078984333370556e+01,6.805844709852531871e+00,6.333333332999999676e+00
5.241736409597808688e+01,-3.342360866495412419e-01,1.146607843137254804e+03,1.600000000000000000e+01,3.200000000000000000e+01,5.636293108063135548e+01,5.138290705336651598e+01,9.852165668072201470e+02,4.777512811751411732e+02,2.062195551592973963e+00,5.571428571400000251e+00
8.314476689855951008e+01,-6.531067174105306128e-01,7.232592592592592382e+02,9.000000000000000000e+00,1.125000000000000000e+01,1.349770813879156321e+02,1.050856528953617186e+02,6.801451915672639188e+03,1.214205480233649723e+04,5.601565819291011161e-01,6.333333332999999676e+00
7.466614788547546766e+01,-7.059618228590355260e-01,7.942972972972972912e+02,4.000000000000000000e+00,5.479452054794520244e+00,7.966419246840976598e+01,7.728770830868924691e+01,1.929446126524180727e+02,2.632428840972179955e+02,7.329528139539828180e-01,3.799999999999999822e+00
