# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
6.857003422988636032e+01,-3.875316320912940982e-01,8.768088235294117112e+02,1.500000000000000000e+01,2.238805970149253710e+01,4.201669888359420924e+01,3.622205865109846457e+01,8.387777956852229408e+02,5.252735477349706343e+02,1.596839969006839111e+00,6.666666666700000299e+00
6.759296247330733820e+01,1.322877303289166973e+00,8.948484848484848726e+02,2.900000000000000000e+01,4.461538461538462030e+01,6.902619346751916396e+01,6.735080204519124436e+01,3.043439738576739728e+03,1.995647180435346399e+03,1.525038979040783893e+00,7.000000000000000000e+00
6.052337200002767048e+01,-8.327023321202600137e-01,9.985254237288135073e+02,3.800000000000000000e+01,6.551724137931034875e+01,1.395934985147453347e+02,1.123900774752983551e+02,5.511753438146739427e+03,6.714882312059095966e+03,8.208265137049853832e-01,6.500000000000000000e+00
1.005845883126694531e+02,1.156083272839532938e+00,6.008989898989899530e+02,2.000000000000000000e+01,2.040816326530612201e+01,1.654500356171442093e+02,1.332338357886962683e+02,4.791802013733808053e+03,6.035314225437916321e+03,7.939606513836683366e-01,6.500000000000000000e+00
7.490853994444614727e+01,-2.916409614377129533e-01,8.051081081081081265e+02,1.000000000000000000e+01,1.369863013698630105e+01,3.678724466255951597e+01,4.699506461046284755e+01,2.841714593247323251e+02,5.645633762689633386e+02,5.033473145260317638e-01,7.833333332999999676e+00
9.513763645152266690e+01,2.998208810926683121e+00,6.364148936170212210e+02,1.100000000000000000e+01,1.182795698924731198e+01,3.597908592023863150e+01,5.786941353691810974e+01,1.473809585620881080e+03,1.908428649929493588e+02,7.722633935910208969e+00,4.444444444400000194e+00
1.011157335010929614e+02,-7.570739671236141888e-01,7.412345679012345272e+02,3.700000000000000000e+01,4.625000000000000000e+01,2.508012161055045510e+02,2.939956747813196216e+02,5.301244350429920814e+03,1.561165413484145392e+04,3.395696768991838810e-01,6.299999999999999822e+00
7.997576121667549387e+01,-4.763023906771007843e-01,7.521645569620253582e+02,3.000000000000000000e+00,3.846153846153846256e+00,2.410234588008140122e+01,3.442547892884989125e+01,7.801360239793757501e+02,1.289184899302882741e+02,6.051389714549313403e+00,8.333333333000000565e+00
4.964394631040887162e+01,-1.067104540141101399e-01,1.210102040816326507e+03,1.000000000000000000e+01,2.083333333333333570e+01,3.993745109543171878e+01,3.096587160216280310e+01,3.849073956861178658e+02,3.143707126553573517e+02,1.224374218689033622e+00,4.571428571400000251e+00
8.485038130631807007e+01,-7.751306091244591912e-01,7.212289156626505928e+02,4.000000000000000000e+00,4.878048780487804770e+00,7.583406146349264532e+01,6.626302454597590952e+01,3.623553888759516894e+01,5.250032060641735825e+02,6.901965258316142271e-02,6.833333332999999676e+00
7.549366988167992076e+01,-8.007386599711439068e-01,7.850921052631579187e+02,3.000000000000000000e+00,4.000000000000000000e+00,8.196576521125552972e+01,6.893575320670282736e+01,1.233357971983655688e+02,2.576087073912702294e+02,4.787718491636092089e-01,5.400000000000000355e+00
7.604174213104293756e+01,3.489367356743115489e-01,7.909333333333332803e+02,9.000000000000000000e+00,1.216216216216216317e+01,3.524048654448306195e+01,3.673032966251619769e+01,4.227672403616546717e+02,6.086837413826873444e+02,6.945597715511435677e-01,6.833333332999999676e+00
