# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
6.894696261848919505e+01,-3.125511264822993240e-01,8.720149253731343606e+02,1.400000000000000000e+01,2.121212121212121104e+01,4.164223526151973687e+01,4.097245657878481495e+01,5.047669630089887960e+02,3.098425015873378925e+02,1.629108209567905030e+00,5.666666666700000299e+00
7.084512724958301533e+01,-9.976936654639655122e-02,8.535294117647058556e+02,2.000000000000000000e+01,2.985074626865671377e+01,5.530107553406064369e+01,7.337828191205646533e+01,6.598299128866358387e+02,7.413508780204577988e+02,8.900372717551804369e-01,7.000000000000000000e+00
5.785418925020675118e+01,-4.273997321420633377e-01,1.048928571428571331e+03,4.400000000000000000e+01,8.000000000000000000e+01,1.439890778686166470e+02,9.943144868205928333e+01,7.323421561627643541e+02,4.635917756716456097e+03,1.579713434522768967e-01,2.000000000000000000e+00
1.003745125857063698e+02,3.780172746374659692e-02,6.036428571428571104e+02,5.000000000000000000e+00,5.154639175257731409e+00,8.158785031846119296e+01,5.816475887732821093e+01,1.375884847429458205e+03,1.944025984082944433e+03,7.077502351793433233e-01,5.000000000000000000e+00
7.526985934516950749e+01,-2.970827038760193717e-01,8.094305555555555429e+02,7.000000000000000000e+00,9.859154929577464088e+00,1.292577945997406061e+02,9.440410983964939362e+01,2.129862652896598775e+03,3.255526616410292718e+03,6.542298386259524090e-01,3.666666666699999855e+00
9.239722318164547232e+01,1.666040268523591772e+00,6.572921348314606576e+02,1.300000000000000000e+01,1.477272727272727337e+01,1.230333011091638582e+02,1.172206740072282827e+02,6.807587721110177881e+03,1.234021295851963077e+04,5.516588525654452235e-01,3.444444444400000194e+00
6.537822023202453181e+01,-4.003857584956740379e-01,9.311111111111110858e+02,1.600000000000000000e+01,2.580645161290322420e+01,2.800460791577216924e+02,2.328443416860223749e+02,5.208627925730269453e+03,8.754584842600688717e+03,5.949600145953881647e-01,1.000000000000000000e+00
8.132830659870595014e+01,-3.541826548787890272e-01,7.381625000000000227e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.859426888702639857e+01,2.768331021675265546e+01,4.829345876918974909e+02,6.826271003298107587e+01,7.074647160339342378e+00,5.000000000000000000e+00
5.227099984396183885e+01,-3.080804713040426468e-01,1.149519999999999982e+03,1.500000000000000000e+01,3.061224489795918302e+01,4.829902606023590295e+01,3.767164255857746014e+01,4.273482686270842237e+02,3.910562992336012940e+02,1.092804973259882351e+00,3.000000000000000000e+00
8.721793862768655003e+01,-4.070324473289489986e-01,6.271290322580645125e+02,3.700000000000000000e+01,4.021739130434782794e+01,1.918035113247975403e+02,1.802149818728859429e+02,7.475701052544052345e+02,1.747331030459009753e+03,4.278354199765024291e-01,2.000000000000000000e+00
7.886604164472065293e+01,-4.140306218469344546e-01,7.710000000000000000e+02,3.000000000000000000e+00,3.947368421052631415e+00,4.618669209107521567e+01,6.511164500908783737e+01,1.202237850334371814e+02,2.494721444953742093e+02,4.819126611374698332e-01,3.000000000000000000e+00
7.913943871295064980e+01,4.420829683956138290e+00,7.393670886075949511e+02,3.500000000000000000e+01,4.487179487179487580e+01,1.954186826750747059e+02,1.742481414546206508e+02,4.424223174926373758e+03,1.154820360452979367e+04,3.831092113054681558e-01,3.000000000000000000e+00
7.241937168730152052e+01,-2.847907615655876357e-01,8.309295774647887356e+02,2.900000000000000000e+01,4.142857142857143060e+01,4.724828039198887097e+01,5.004978205851277551e+01,4.860677387113233294e+02,8.419610039589438202e+02,5.773043364547857381e-01,4.000000000000000000e+00
