# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
7.856678055370389302e+01,3.585782360263857216e-01,7.665526315789473983e+02,4.000000000000000000e+00,5.333333333333333925e+00,2.834760424915422661e+01,4.453415011332078421e+01,1.516991859426094834e+03,1.595461271174370665e+02,9.508171002543253536e+00,4.299999999999999822e+00
5.995291840494837743e+01,6.118255713958530712e-02,1.001241379310344882e+03,2.000000000000000000e+00,3.508771929824561209e+00,1.861333232795451664e+01,2.214332131288979966e+01,2.166600856020804997e+02,1.194706618879459370e+02,1.813500337055892198e+00,5.833333332999999676e+00
5.664982559064433332e+01,-7.453606377915561465e-01,1.079777777777777828e+03,2.400000000000000000e+01,4.528301886792453246e+01,5.899488305281310119e+01,1.286090560892820633e+02,1.275286116750659176e+03,6.711328239594080287e+02,1.900199291739293583e+00,5.166666666700000299e+00
6.404073410085001683e+01,-1.092798884427870904e-01,9.455322580645160997e+02,3.300000000000000000e+01,5.409836065573770725e+01,6.391939083400406929e+01,7.420125882497546854e+01,4.731023183257084384e+02,9.090428129873009766e+02,5.204400844125232073e-01,6.500000000000000000e+00
6.382545759647092609e+01,4.082964140858891255e-01,9.466129032258064626e+02,1.000000000000000000e+01,1.639344262295081833e+01,3.768245232352525420e+01,6.049965582850476409e+01,8.886799842033185541e+02,4.454594535769081745e+02,1.994973901816383233e+00,7.299999999999999822e+00
6.257058106898747951e+01,-8.315954344015830113e-01,9.737500000000000000e+02,4.600000000000000000e+01,7.796610169491525255e+01,1.794975095431783245e+02,1.687445793228554578e+02,1.944574552998978334e+03,8.695212990287220236e+03,2.236373686499823210e-01,8.833333333000000565e+00
7.955697238783238845e+01,2.908317612485519899e+00,7.570389610389610198e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.064709741292822187e+01,4.164209710782990470e+01,5.273974781815538790e+02,2.235405712607574742e+02,2.359291985374551537e+00,5.785714285700000126e+00
5.933148006957069498e+01,1.207591768848355063e+00,1.012224137931034534e+03,1.400000000000000000e+01,2.456140350877192802e+01,4.568580723218252615e+01,4.327514707666465199e+01,6.474844508992782721e+02,3.943627460939673028e+02,1.641849939712606732e+00,5.833333332999999676e+00
6.091464943399776644e+01,-7.137646253262728280e-01,9.875593220338982974e+02,8.000000000000000000e+00,1.379310344827586121e+01,3.341561683219183010e+01,5.349194950271866134e+01,1.680779122726876039e+03,4.847900482645355282e+02,3.467024805364248952e+00,5.666666666700000299e+00
7.151169373257957318e+01,-7.840554835020538960e-01,8.426142857142857565e+02,3.000000000000000000e+00,4.347826086956521507e+00,2.517734201071744593e+01,5.646578875927475849e+01,3.529003280112927428e+02,2.500378853087154880e+02,1.411387428651364573e+00,6.833333332999999676e+00
6.145971871568517031e+01,-5.554824954260162428e-01,9.909491525423728717e+02,2.400000000000000000e+01,4.137931034482758719e+01,8.365198845463145005e+01,1.029521857095461712e+02,1.379997254274478291e+04,2.346321800136227012e+03,5.881534468947762662e+00,6.799999999999999822e+00
6.031640172684083723e+01,-7.986599987453117944e-01,9.963965517241379075e+02,2.200000000000000000e+01,3.859649122807017108e+01,5.345583518933618450e+01,5.020062893824660932e+01,4.325566762008433557e+02,9.461218947364296810e+02,4.571891619962402675e-01,9.000000000000000000e+00
6.263443281774269877e+01,8.271463709500089800e-01,9.592622950819671814e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.804392787985291591e+01,2.788422591080500013e+01,2.644645503398228925e+02,8.887570509596562829e+01,2.975667535399703301e+00,4.400000000000000355e+00
7.975578754980368501e+01,-6.889003298680437259e-01,7.566103896103895750e+02,2.000000000000000000e+00,2.631578947368420796e+00,2.439181269024074439e+01,5.626491751764378790e+01,1.003042089410531048e+03,1.952902348923003899e+02,5.136161006533140672e+00,5.500000000000000000e+00
6.253423615780464218e+01,-5.440140660321156618e-01,9.654590163934426528e+02,2.200000000000000000e+01,3.666666666666666430e+01,5.151876680718720536e+01,7.278886677015283624e+01,4.751905117597511889e+03,7.850522527587110062e+02,6.052979404745468806e+00,6.500000000000000000e+00
