# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
7.656085361522319488e+01,8.068826509197882801e-01,7.854666666666666970e+02,5.000000000000000000e+00,6.756756756756757021e+00,2.987089336244013893e+01,4.324297578746119797e+01,5.455354800912269866e+02,3.298864091750074863e+02,1.653707048603556995e+00,4.799999999999999822e+00
5.915076184345349475e+01,-7.526945902199339705e-03,1.016456140350877149e+03,3.000000000000000000e+00,5.357142857142856762e+00,2.191175483616042996e+01,4.238137654317324632e+01,5.911784895662299277e+01,6.357418002442327065e+01,9.299034440383141531e-01,5.333333332999999676e+00
5.474458669658415033e+01,-7.426330372884522024e-01,1.118849056603773533e+03,1.700000000000000000e+01,3.269230769230769340e+01,1.055874591912388922e+02,1.051660584735499242e+02,6.786530897660859409e+02,7.776668139645792053e+02,8.726784756395646880e-01,6.833333332999999676e+00
6.290911853843467583e+01,-1.778875504777804040e-01,9.604590163934426528e+02,2.300000000000000000e+01,3.833333333333333570e+01,5.110153291895133520e+01,7.080667900946720295e+01,5.596696847616452715e+02,7.876866785132812083e+02,7.105232321790607708e-01,8.500000000000000000e+00
6.154720855250037914e+01,3.583182866722564586e-01,9.778500000000000227e+02,1.100000000000000000e+01,1.864406779661016955e+01,3.796653298786503683e+01,4.965433908361390536e+01,1.229956618245275195e+03,5.822265521344745594e+02,2.112505198768737991e+00,8.300000000000000711e+00
5.804024014574725499e+01,-8.780703689439427473e-01,1.049750000000000000e+03,4.000000000000000000e+01,7.272727272727273373e+01,1.213520798038800450e+02,9.505276046873795792e+01,1.772723548627412583e+03,7.089203194924183663e+03,2.500596329213231606e-01,6.833333332999999676e+00
7.809223584513475203e+01,2.807850423717378696e+00,7.700789473684210407e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.916107164713567457e+01,3.736977857677501191e+01,4.057285143047785709e+02,1.973196513176416147e+02,2.056199225953649012e+00,5.571428571400000251e+00
5.808314522964072069e+01,7.712221444161682093e-01,1.034807017543859729e+03,1.500000000000000000e+01,2.678571428571428470e+01,4.348788829744930240e+01,3.969681464213255850e+01,5.390102674982845201e+02,6.201843504138132630e+02,8.691129776793530270e-01,5.333333332999999676e+00
6.258229014915563226e+01,-7.069281897455611530e-01,9.599344262295081762e+02,8.000000000000000000e+00,1.333333333333333393e+01,3.612524509720775967e+01,3.788001621455962464e+01,6.458670280602850653e+02,4.655308797748434131e+02,1.387377413873516208e+00,7.833333332999999676e+00
7.161479079446769447e+01,-7.843293009255331016e-01,8.483188405797101268e+02,7.000000000000000000e+00,1.029411764705882248e+01,1.162833759804545934e+02,8.178657533188639661e+01,2.207111549192742132e+03,2.964202484525593718e+03,7.445886577299659637e-01,6.333333332999999676e+00
5.932403981260136305e+01,-5.310622839043926957e-01,1.020396551724137908e+03,2.000000000000000000e+01,3.508771929824560942e+01,5.874909480452339494e+01,8.361879660576038020e+01,4.950072729494598207e+03,1.305406374976617826e+03,3.791978363506354643e+00,5.799999999999999822e+00
5.969214341155178261e+01,-8.166524999616343594e-01,1.007948275862068954e+03,3.300000000000000000e+01,5.789473684210526727e+01,6.191236024314686404e+01,5.071330577807079010e+01,7.226285446874280751e+02,1.015914241865677809e+03,7.113086074670588177e-01,7.500000000000000000e+00
6.738499457430675932e+01,1.204128437857684197e+00,9.018769230769230489e+02,1.300000000000000000e+01,2.031250000000000000e+01,4.859108714568959186e+01,8.593211486623970075e+01,1.544231664463586412e+03,2.672179677650343024e+02,5.778921520058242223e+00,3.799999999999999822e+00
7.569767277014126705e+01,-7.621645043905167505e-01,7.977162162162162531e+02,4.000000000000000000e+00,5.479452054794520244e+00,2.619761570244801163e+01,5.851203371612070470e+01,1.334024248760116961e+03,1.189962113415177924e+02,1.121064472322973593e+01,5.000000000000000000e+00
6.525438124033468057e+01,-5.411472620432644653e-01,9.266562500000000000e+02,2.200000000000000000e+01,3.492063492063491736e+01,5.980736271497544010e+01,7.511878820421587477e+01,1.359787367646021039e+03,5.526769601583970370e+02,2.460365576405259436e+00,8.500000000000000000e+00
