# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
7.766583709142832959e+01,4.612275119648176491e-01,7.735657894736841627e+02,4.000000000000000000e+00,5.333333333333333925e+00,2.576535141101967241e+01,2.871298685325314182e+01,2.071452696277196992e+02,2.455195836321712193e+02,8.437016166419434304e-01,1.000000000000000000e+00
6.039126122578770861e+01,5.755650736043371046e-02,9.977288135593220204e+02,7.000000000000000000e+00,1.206896551724137900e+01,2.924804738545923755e+01,6.139466182244370174e+01,7.135448841735367296e+02,2.624111196338244554e+02,2.719186920010236097e+00,3.000000000000000000e+00
5.133337186180342826e+01,-6.803470062053837975e-01,1.172359999999999900e+03,2.700000000000000000e+01,5.510204081632652162e+01,6.652604216180522201e+01,6.092308968808835345e+01,2.125880246111015822e+03,1.588848523058677983e+03,1.338000580457162192e+00,5.000000000000000000e+00
6.180705648174491529e+01,-1.182357536420887423e-01,9.783559322033897843e+02,2.500000000000000000e+01,4.310344827586206407e+01,6.120372988408578863e+01,4.966187836236242958e+01,2.957138552572553181e+02,8.031086558291320898e+02,3.682115154791344436e-01,7.000000000000000000e+00
6.499535157293689736e+01,-3.290615045769750002e-02,9.240634920634920491e+02,2.000000000000000000e+00,3.225806451612903025e+00,2.245245873453075802e+01,2.588614837961391046e+01,2.250125758938473268e+02,1.546456923205161331e+02,1.455020004226758257e+00,7.799999999999999822e+00
5.806769927772669604e+01,-8.097838368498371242e-01,1.037357142857142890e+03,3.800000000000000000e+01,6.909090909090909349e+01,1.024413801334029444e+02,7.041498512298451828e+01,4.645523883741246891e+02,3.285390152408276208e+03,1.413994584581060310e-01,4.000000000000000000e+00
7.855545422720689430e+01,2.607740648062594868e+00,7.658552631578946830e+02,2.000000000000000000e+00,2.666666666666666963e+00,2.262741699796952233e+01,3.558790204451261019e+01,1.244805981217887592e+02,1.586591730661413635e+02,7.845786393320962615e-01,3.000000000000000000e+00
5.903501690945549996e+01,3.163851526955667737e-01,1.017333333333333371e+03,1.500000000000000000e+01,2.678571428571428470e+01,4.283689998120779308e+01,3.432165774662101398e+01,1.585433777832228657e+02,5.555152138832834225e+02,2.853988042468511566e-01,4.000000000000000000e+00
6.104619602255859689e+01,-6.475256215049504105e-01,9.856666666666666288e+02,2.300000000000000000e+01,3.898305084745762628e+01,5.157140844975562288e+01,5.219606669597885684e+01,1.153474012780901148e+03,1.275637914783763563e+03,9.042330895099094379e-01,6.333333332999999676e+00
7.227420824930615595e+01,-7.097695662340133271e-01,8.328028169014085051e+02,6.000000000000000000e+00,8.571428571428571175e+00,2.871883403920550037e+01,4.002485646206433501e+01,1.033373391639127249e+03,4.016994482038055594e+02,2.572503886325570921e+00,4.666666666700000299e+00
5.600904248298594013e+01,-5.271992441404373952e-01,1.077148148148148039e+03,1.400000000000000000e+01,2.641509433962264097e+01,5.832715151431265355e+01,6.757145970243104216e+01,1.496553382780064339e+03,1.477140511478067538e+03,1.013142196799254879e+00,5.799999999999999822e+00
6.052010492600182090e+01,-7.180151455401836413e-01,9.962542372881356414e+02,2.600000000000000000e+01,4.482758620689655515e+01,6.370459843738884587e+01,6.295225153332593493e+01,2.912869136001514107e+03,1.051753218563997279e+03,2.769536697951422877e+00,6.000000000000000000e+00
6.262651539982154958e+01,2.056659716071888688e+00,9.609344262295081762e+02,9.000000000000000000e+00,1.500000000000000000e+01,4.272294465506796257e+01,5.972265590557154269e+01,9.562282571765332477e+02,4.475225787556346972e+02,2.136715112420444651e+00,2.000000000000000000e+00
7.235753731782654086e+01,-7.143925965576058967e-01,8.340704225352112644e+02,8.000000000000000000e+00,1.142857142857142883e+01,3.458984161364637799e+01,6.214529609682274014e+01,1.325774324442475290e+03,3.423327007848316725e+02,3.872765649916020791e+00,4.000000000000000000e+00
6.627329673196041426e+01,-5.413946150231023768e-01,9.080153846153846189e+02,1.000000000000000000e+01,1.562500000000000000e+01,3.413278299523787496e+01,4.613312675957900666e+01,8.581072065107309754e+02,3.173272273690548104e+02,2.704171380518645140e+00,3.000000000000000000e+00
