# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
7.627472103739327736e+01,2.742289739199316734e-01,7.895333333333333030e+02,6.000000000000000000e+00,8.108108108108108780e+00,3.180430023618682966e+01,4.321859376294937505e+01,6.693406787773010365e+02,2.720045639650950307e+02,2.460770029076402299e+00,4.799999999999999822e+00
5.919689145331193458e+01,2.837360792481103539e-02,1.020169491525423723e+03,9.000000000000000000e+00,1.551724137931034520e+01,4.649415981122493235e+01,6.770375442713719849e+01,3.033402923521996854e+03,1.518857810534123246e+03,1.997160565316688174e+00,7.333333332999999676e+00
5.261810753519294792e+01,-4.550741583727548889e-01,1.143250000000000000e+03,2.400000000000000000e+01,4.705882352941176094e+01,6.649295996938469955e+01,6.110834961080902161e+01,1.475983996399080979e+03,1.572376388130773194e+03,9.386963627415680911e-01,7.166666666700000299e+00
6.304680476559583724e+01,-1.549976021250144137e-02,9.550161290322580498e+02,2.800000000000000000e+01,4.590163934426229275e+01,6.692729110820164351e+01,6.378485660649356959e+01,4.297959571012797255e+02,5.959560388065876850e+02,7.211873512716703294e-01,9.500000000000000000e+00
6.349104019571841917e+01,-6.124499952029231059e-02,9.482096774193548754e+02,1.000000000000000000e+01,1.639344262295081833e+01,3.488341237631996705e+01,5.293241502661646791e+01,4.779978922130453043e+02,3.219065220110613268e+02,1.484896575648195105e+00,5.799999999999999822e+00
5.874103041889748766e+01,-5.592608550376474419e-01,1.026827586206896513e+03,4.300000000000000000e+01,7.543859649122806843e+01,1.015367879058896250e+02,7.278763581409083372e+01,8.757404533535648170e+02,2.465382606256490817e+03,3.552148259386460061e-01,8.833333333000000565e+00
7.649591616160707019e+01,3.636974947934957569e+00,7.871066666666666833e+02,4.000000000000000000e+00,5.405405405405405261e+00,2.503241142242636030e+01,4.601426727432256314e+01,3.663215627869232094e+02,2.444090937695783623e+02,1.498804963174898530e+00,4.285714285700000126e+00
5.554170808675132065e+01,-1.772011849050626475e-01,1.082927272727272793e+03,1.700000000000000000e+01,3.148148148148148096e+01,5.157734213995738060e+01,4.836468505989427769e+01,1.143331606398120130e+03,7.524403220727497228e+02,1.519498055671153924e+00,4.333333332999999676e+00
6.041439087547764331e+01,-4.250071841109035464e-01,9.978305084745762770e+02,2.500000000000000000e+01,4.310344827586206407e+01,6.465198612838455006e+01,7.053909469770276530e+01,3.954759124521197919e+03,1.944988083918877237e+03,2.033307636802028640e+00,6.166666666700000299e+00
6.805847430828178801e+01,-4.807303457586189488e-01,8.841641791044776255e+02,5.000000000000000000e+00,7.575757575757576134e+00,3.026248803086391703e+01,4.043947854133023156e+01,1.041019018167450668e+03,3.142392088212762360e+02,3.312823444510168969e+00,7.833333332999999676e+00
5.342962287285278933e+01,-3.696809911719358133e-01,1.133076923076923094e+03,2.100000000000000000e+01,4.117647058823528994e+01,7.414188834824169305e+01,8.408861948921394003e+01,5.312624505604197111e+03,1.897067632605242352e+03,2.800440223793377204e+00,9.300000000000000711e+00
6.096107417385596250e+01,-4.467597379442393435e-01,9.853999999999999773e+02,3.200000000000000000e+01,5.423728813559321793e+01,6.271241868742679770e+01,4.483725750998770110e+01,4.781733461823076254e+02,1.138238755806251902e+03,4.200993365786440115e-01,1.050000000000000000e+01
6.291351221926521475e+01,-8.066320455528354361e-02,9.564677419354839003e+02,7.000000000000000000e+00,1.147540983606557319e+01,2.850682978274320334e+01,5.234210220912048328e+01,1.150943673027021532e+03,1.305940808952161660e+02,8.813138123392405987e+00,6.900000000000000355e+00
7.566772291003663042e+01,-5.033116682886396021e-01,7.948133333333333894e+02,4.000000000000000000e+00,5.405405405405405261e+00,2.400281515020967404e+01,3.960674708196085447e+01,5.735729562307423066e+02,1.512637893567420520e+02,3.791872190098464657e+00,4.000000000000000000e+00
6.402670213472401883e+01,-3.651434399018223531e-01,9.497741935483870748e+02,2.100000000000000000e+01,3.442622950819671956e+01,5.302118351790483075e+01,8.862472351545832794e+01,4.468924904518689800e+03,7.486882388571636966e+02,5.969006420269519886e+00,7.000000000000000000e+00
