# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
7.856678055370389302e+01,3.609900128676796771e-01,7.665526315789473983e+02,4.000000000000000000e+00,5.333333333333333925e+00,2.834760424915422661e+01,4.453415011332078421e+01,1.516991859426094834e+03,1.595461271174370665e+02,9.508171002543253536e+00,4.299999999999999822e+00
5.995291840494837743e+01,8.560888314603547211e-02,1.001241379310344882e+03,2.000000000000000000e+00,3.508771929824561209e+00,1.861333232795451664e+01,2.214332131288979966e+01,2.166600856020804997e+02,1.194706618879459370e+02,1.813500337055892198e+00,5.833333332999999676e+00
5.664982559064433332e+01,-6.612304018792992677e-01,1.079777777777777828e+03,2.400000000000000000e+01,4.528301886792453246e+01,5.899488305281310119e+01,1.286090560892820633e+02,1.275286116750659176e+03,6.711328239594080287e+02,1.900199291739293583e+00,5.166666666700000299e+00
6.404073410085001683e+01,-7.223517503026337383e-02,9.455322580645160997e+02,3.300000000000000000e+01,5.409836065573770725e+01,6.391939083400406929e+01,7.420125882497546854e+01,4.731023183257084384e+02,9.090428129873009766e+02,5.204400844125232073e-01,6.500000000000000000e+00
6.382545759647092609e+01,4.070278305420225173e-01,9.466129032258064626e+02,1.000000000000000000e+01,1.639344262295081833e+01,3.768245232352525420e+01,6.049965582850476409e+01,8.886799842033185541e+02,4.454594535769081745e+02,1.994973901816383233e+00,7.299999999999999822e+00
6.257058106898747951e+01,-7.410817157944034062e-01,9.737500000000000000e+02,4.600000000000000000e+01,7.796610169491525255e+01,1.794975095431783245e+02,1.687445793228554578e+02,1.944574552998978334e+03,8.695212990287220236e+03,2.236373686499823210e-01,8.833333333000000565e+00
6.815084865894809241e+01,-4.293015269543759005e-01,8.812121212121212466e+02,1.500000000000000000e+01,2.307692307692307665e+01,3.979756467230317440e+01,2.647292675198287881e+01,9.243676983362465194e+01,1.195481834084631885e+02,7.732176867781728191e-01,7.166666666700000299e+00
7.731813198247132846e+01,6.156518918388883543e-01,7.785526315789473983e+02,2.800000000000000000e+01,3.733333333333333570e+01,5.364078050637717610e+01,4.273028426049206985e+01,8.303022482521154188e+02,5.664190510232658653e+02,1.465879805335167818e+00,7.500000000000000000e+00
6.326273417280212641e+01,-7.298688754376824184e-01,9.529677419354839003e+02,4.700000000000000000e+01,7.704918032786885362e+01,1.487381900532874965e+02,1.140237202446232914e+02,1.649457511341824556e+03,7.212733379581644840e+03,2.286868825639991887e-01,3.500000000000000000e+00
1.076878285457851518e+02,9.226729326691597288e-01,5.583773584905660528e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.242769564511534952e+01,2.451877913149086652e+01,5.085873311694655996e+01,9.023553352126306493e+01,5.636220137709080369e-01,7.000000000000000000e+00
7.372719512769538142e+01,1.620422652599541602e-01,7.966216216216216708e+02,1.900000000000000000e+01,2.602739726027397182e+01,1.042188161698050379e+02,1.138856314920719797e+02,2.304216017965005676e+02,1.007599571997136991e+03,2.286837035269753959e-01,6.833333332999999676e+00
8.787751365725763719e+01,2.165977942711414084e+00,7.029036144578312815e+02,2.200000000000000000e+01,2.682926829268292934e+01,1.645712092889557141e+02,1.414974458493803411e+02,2.896399330550211380e+04,1.664647836659359746e+04,1.739947192892611350e+00,3.944444444400000194e+00
7.955697238783238845e+01,2.721986354890325810e+00,7.570389610389610198e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.064709741292822187e+01,4.164209710782990470e+01,5.273974781815538790e+02,2.235405712607574742e+02,2.359291985374551537e+00,5.785714285700000126e+00
6.827904737694602488e+01,-7.270758037882536495e-01,8.753731343283582191e+02,2.200000000000000000e+01,3.333333333333332860e+01,2.863934568407807433e+02,2.323159314265222406e+02,1.519113103687465446e+04,2.503316423793560898e+04,6.068402257295864022e-01,5.799999999999999822e+00
8.246155274602143948e+01,-5.416593101274772559e-01,7.283580246913579685e+02,1.000000000000000000e+00,1.250000000000000000e+00,1.746532278545117478e+01,2.577756225963546299e+01,2.531400750123123942e+02,7.092836503418799055e+01,3.568954041028536750e+00,6.833333332999999676e+00
5.306346689457337362e+01,-4.654998750551674336e-01,1.135411764705882433e+03,1.200000000000000000e+01,2.400000000000000000e+01,4.552164320408479625e+01,4.671367100564383890e+01,1.243484359568749795e+02,4.319616386688847456e+02,2.878691643546450463e-01,4.071428571400000251e+00
8.475597751518326106e+01,-6.722534512018624175e-01,7.014880952380951840e+02,6.000000000000000000e+00,7.228915662650601703e+00,5.443698689465347940e+01,6.585498746975375184e+01,1.515387563314074839e+02,6.079747275195517204e+02,2.492517360872276988e-01,6.333333332999999676e+00
7.651500956675930354e+01,-7.316390160054899727e-01,7.737200000000000273e+02,6.000000000000000000e+00,8.108108108108108780e+00,8.815971378773376443e+01,7.305432262401762955e+01,2.340384052300016720e+02,5.562147303385926307e+02,4.207698798043915112e-01,5.900000000000000355e+00
5.933148006957069498e+01,1.147155792722442946e+00,1.012224137931034534e+03,1.400000000000000000e+01,2.456140350877192802e+01,4.568580723218252615e+01,4.327514707666465199e+01,6.474844508992782721e+02,3.943627460939673028e+02,1.641849939712606732e+00,5.833333332999999676e+00
7.404714748272641600e+01,-2.507884702348769923e-01,8.006756756756756204e+02,1.500000000000000000e+01,2.054794520547945069e+01,1.071677727063939471e+02,1.098234084521954657e+02,8.214843322965612060e+02,1.024182737069437508e+03,8.020876573717002911e-01,6.333333332999999676e+00
7.155947651488541794e+01,-3.530291508382154553e-01,8.295211267605633338e+02,3.100000000000000000e+01,4.428571428571428470e+01,1.165369959651072662e+02,9.750192073638191914e+01,4.925112270886660326e+02,8.127131697343941141e+02,6.060086700079260202e-01,5.299999999999999822e+00
6.091464943399776644e+01,-6.319732666043084146e-01,9.875593220338982974e+02,8.000000000000000000e+00,1.379310344827586121e+01,3.341561683219183010e+01,5.349194950271866134e+01,1.680779122726876039e+03,4.847900482645355282e+02,3.467024805364248952e+00,5.666666666700000299e+00
6.974193819911474179e+01,-5.239010114089464043e-01,8.630882352941176805e+02,4.100000000000000000e+01,6.119402985074626855e+01,7.065788925118577879e+01,5.464286636515810613e+01,1.658559995346834057e+02,2.032233934901042403e+03,8.161265132242739861e-02,5.500000000000000000e+00
7.889282598593658236e+01,-6.325700591710777809e-01,7.629870129870130313e+02,1.100000000000000000e+01,1.447368421052631682e+01,3.623752053792922112e+01,3.923830483036130801e+01,6.857142938946312825e+02,5.943817800108469100e+02,1.153659679612180744e+00,9.500000000000000000e+00
7.223937146876360771e+01,-7.906667523304459211e-01,8.357142857142856656e+02,2.000000000000000000e+01,2.898550724637681242e+01,9.238388717030504438e+01,8.993671573077885739e+01,8.334314140795138428e+02,1.610617634880501555e+03,5.174607529622321511e-01,4.071428571400000251e+00
8.155855336158128921e+01,3.190421601682582597e+00,7.393924050632911076e+02,1.700000000000000000e+01,2.179487179487179560e+01,4.412220790904769530e+01,4.825610569087817225e+01,5.912160504343869434e+02,9.862311902553111622e+02,5.994700393538917593e-01,3.299999999999999822e+00
7.151169373257957318e+01,-6.970608832300979607e-01,8.426142857142857565e+02,3.000000000000000000e+00,4.347826086956521507e+00,2.517734201071744593e+01,5.646578875927475849e+01,3.529003280112927428e+02,2.500378853087154880e+02,1.411387428651364573e+00,6.833333332999999676e+00
9.313322913090250665e+01,2.200007258803295063e+00,6.493888888888889142e+02,7.000000000000000000e+00,7.865168539325842367e+00,2.876170987712969307e+01,5.068224307187384881e+01,1.121936959105214328e+03,6.635529819595003573e+02,1.690802376913575822e+00,1.300000000000000044e+00
6.145971871568517031e+01,-4.854078830390957666e-01,9.909491525423728717e+02,2.400000000000000000e+01,4.137931034482758719e+01,8.365198845463145005e+01,1.029521857095461712e+02,1.379997254274478291e+04,2.346321800136227012e+03,5.881534468947762662e+00,6.799999999999999822e+00
