# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
7.656085361522319488e+01,9.913777872601534646e-01,7.854666666666666970e+02,5.000000000000000000e+00,6.756756756756757021e+00,2.987089336244013893e+01,4.324297578746119797e+01,5.455354800912269866e+02,3.298864091750074863e+02,1.653707048603556995e+00,4.799999999999999822e+00
5.915076184345349475e+01,1.351436933423257880e-01,1.016456140350877149e+03,3.000000000000000000e+00,5.357142857142856762e+00,2.191175483616042996e+01,4.238137654317324632e+01,5.911784895662299277e+01,6.357418002442327065e+01,9.299034440383141531e-01,5.333333332999999676e+00
5.474458669658415033e+01,-6.377142156849451293e-01,1.118849056603773533e+03,1.700000000000000000e+01,3.269230769230769340e+01,1.055874591912388922e+02,1.051660584735499242e+02,6.786530897660859409e+02,7.776668139645792053e+02,8.726784756395646880e-01,6.833333332999999676e+00
6.290911853843467583e+01,-4.396588305176197392e-02,9.604590163934426528e+02,2.300000000000000000e+01,3.833333333333333570e+01,5.110153291895133520e+01,7.080667900946720295e+01,5.596696847616452715e+02,7.876866785132812083e+02,7.105232321790607708e-01,8.500000000000000000e+00
6.154720855250037914e+01,5.197771289623330793e-01,9.778500000000000227e+02,1.100000000000000000e+01,1.864406779661016955e+01,3.796653298786503683e+01,4.965433908361390536e+01,1.229956618245275195e+03,5.822265521344745594e+02,2.112505198768737991e+00,8.300000000000000711e+00
5.804024014574725499e+01,-7.801070133695664488e-01,1.049750000000000000e+03,4.000000000000000000e+01,7.272727272727273373e+01,1.213520798038800450e+02,9.505276046873795792e+01,1.772723548627412583e+03,7.089203194924183663e+03,2.500596329213231606e-01,6.833333332999999676e+00
6.793654311921639533e+01,-4.467207332456645807e-01,8.833333333333333712e+02,1.200000000000000000e+01,1.846153846153846345e+01,3.754771323570543728e+01,2.328111372787514455e+01,3.575629074400888641e+01,3.747706102113214399e+01,9.540847059444450551e-01,6.333333332999999676e+00
7.165570127075227447e+01,4.944735852720998359e-01,8.449275362318840052e+02,3.200000000000000000e+01,4.705882352941176094e+01,6.668627162714535928e+01,7.655492431246756269e+01,1.115749173173658619e+03,1.793658441499210994e+03,6.220521964265789405e-01,7.000000000000000000e+00
6.040102407403355045e+01,-8.065499335249520785e-01,1.002965517241379303e+03,4.300000000000000000e+01,7.543859649122806843e+01,1.663215549744614634e+02,1.257016748925025240e+02,6.607954394787824640e+03,6.360903811823677643e+03,1.038838911933384068e+00,6.000000000000000000e+00
1.053383058134049008e+02,1.218897885394065517e+00,5.863700000000000045e+02,6.000000000000000000e+00,6.060606060606060552e+00,1.333206054531100619e+02,9.514801388076656963e+01,2.353358458017792145e+03,9.917946782971166613e+03,2.372828277379388506e-01,7.500000000000000000e+00
