# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
8.190273120053699074e+01,-2.902309970331070840e-02,7.348360655737704974e+02,2.000000000000000000e+00,3.333333333333333481e+00,2.297970118749734070e+01,3.497007307583102431e+01,8.894595102287838699e+02,9.481667964782394620e+01,9.380833768198684197e+00,2.799999999999999822e+00
6.216066597736431731e+01,-1.005275172634423758e-01,9.712391304347826235e+02,1.500000000000000000e+01,3.333333333333332860e+01,4.485309353879617333e+01,7.356574830497883966e+01,8.382064970239692911e+02,5.978824784743613918e+02,1.401958624315018387e+00,6.333333332999999676e+00
5.780639144645883221e+01,-2.235131088021256318e-01,1.053047619047619037e+03,2.000000000000000000e+01,4.878048780487804947e+01,8.045632052359293596e+01,1.031096864179946380e+02,1.721666721682757270e+03,1.662935727543206212e+03,1.035317657301355387e+00,7.833333332999999676e+00
6.157634791637038774e+01,-1.035181402656466243e-01,9.777111111111111086e+02,1.500000000000000000e+01,3.409090909090908639e+01,5.748043145279964250e+01,4.998937260795911186e+01,4.592884258820259333e+02,6.766612466550961926e+02,6.787568050518663076e-01,5.500000000000000000e+00
6.470313931138798580e+01,-1.168867579644201904e-01,9.287916666666666288e+02,5.000000000000000000e+00,1.063829787234042534e+01,2.890520088665484977e+01,4.037007440916375600e+01,1.926099241471131563e+03,2.429949807025421080e+02,7.926498053179670045e+00,5.500000000000000000e+00
6.060966549974604334e+01,-2.455336204853450499e-01,9.958888888888889142e+02,3.600000000000000000e+01,8.181818181818182723e+01,1.076910564362873970e+02,8.159523777943678624e+01,4.963823916883113156e+02,5.673014279015606007e+03,8.749887930379837697e-02,8.833333333000000565e+00
7.003327913803528304e+01,-1.943453687154053644e-01,8.575576923076922640e+02,5.000000000000000000e+00,9.803921568627451677e+00,3.532510077972940365e+01,2.432735365276310446e+01,5.925619784419924940e+01,5.656576345622845281e+01,1.047562946623229019e+00,7.833333332999999676e+00
7.357570098340286791e+01,-4.983794438938000948e-02,8.194444444444444571e+02,2.300000000000000000e+01,4.339622641509433976e+01,5.893712671703955408e+01,5.130069206442840368e+01,1.000200035520917368e+03,1.280142227152212172e+03,7.813194614679256356e-01,1.050000000000000000e+01
5.980984215791757208e+01,-2.451641339005042053e-01,1.006204545454545496e+03,3.300000000000000000e+01,7.674418604651162923e+01,1.240738714693603413e+02,9.343710222326892278e+01,2.164421669004422256e+03,4.444968557424863320e+03,4.869374532220206997e-01,8.000000000000000000e+00
1.029249443371359121e+02,-5.490271755824813887e-02,5.969605263157894797e+02,4.000000000000000000e+00,5.333333333333333925e+00,1.262731430933223606e+02,8.954781825586800892e+01,1.735889517308441327e+03,3.547953655291641553e+03,4.892649921510182076e-01,8.500000000000000000e+00
7.159433711760436836e+01,-1.962801141164463858e-01,8.436792452830188722e+02,1.800000000000000000e+01,3.461538461538461320e+01,6.363764609097353997e+01,6.659919541697691159e+01,5.528565737993363882e+02,1.799381635116860480e+03,3.072480917942853607e-01,6.000000000000000000e+00
9.751102150796540968e+01,1.453039541456929429e-01,6.188630136986300840e+02,1.100000000000000000e+01,1.527777777777777857e+01,3.464021426672248793e+01,4.357538648661814307e+01,1.219804460134934629e+02,1.134919208218637721e+02,1.074794092215191510e+00,5.444444444400000194e+00
8.322872065821830745e+01,6.218054302099917052e+00,7.238064516129031745e+02,1.000000000000000000e+00,1.639344262295082011e+00,2.023833402072478549e+01,3.788154042849003389e+01,4.542407721021412499e+02,1.327425910681176333e+02,3.421967044993456053e+00,3.571428571399999807e+00
6.767390637496380634e+01,-2.314863184075856284e-01,8.534615384615384528e+02,9.000000000000000000e+00,1.764705882352941302e+01,1.305043008832261080e+02,1.846234601049285686e+02,4.306731189000128097e+02,2.452455290872755711e+02,1.756089582969519114e+00,4.299999999999999822e+00
8.037707500319733356e+01,-2.043935600152855248e-01,7.496000000000000227e+02,2.000000000000000000e+00,3.389830508474576121e+00,2.417976461732315130e+01,3.976251535200763954e+01,1.330326624598251101e+03,1.285185630915319734e+02,1.035124103940363582e+01,8.333333333000000565e+00
5.539701887693921378e+01,-1.731412194636542390e-01,1.087439024390243958e+03,1.100000000000000000e+01,2.750000000000000355e+01,4.823587876259745855e+01,5.867156414332577441e+01,4.597579426305361494e+02,3.824731300394641380e+02,1.202065992408663186e+00,6.071428571400000251e+00
8.614181528990134495e+01,-2.361509913383006976e-01,7.090317460317460245e+02,4.000000000000000000e+00,6.451612903225806051e+00,1.199349958344371316e+02,8.493545333957412424e+01,3.883669867818706734e+03,9.291629430961260368e+03,4.179751136950931589e-01,8.333333333000000565e+00
7.804490657502297779e+01,-2.389845651524040993e-01,7.721034482758620925e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.045791572446894335e+01,4.713239644786089855e+01,2.825231795730420004e+02,1.215782958333156074e+02,2.323796181189959675e+00,6.799999999999999822e+00
5.655706954268688236e+01,-1.051025122758515312e-01,1.063642857142857110e+03,8.000000000000000000e+00,1.951219512195121908e+01,4.071045889467025347e+01,3.837353091083047474e+01,1.733054534984233044e+02,6.561810943520208639e+02,2.641122321111102900e-01,6.833333332999999676e+00
